Transmitter,Order,Section,Direction,First.array
A69-9007-6930,3,Fairhaven,Fundy,A
A69-9007-6934,3,Passamaquoddy_Bay,Passamaquoddy Bay,E
A69-9007-6936,3,Fairhaven,Fundy,A
A69-9007-6940,3,Fairhaven,Fundy,A
A69-9007-6944,3,Fairhaven,Fundy,A
A69-9007-6922,3,OuterW_P,Passamaquoddy Bay,C
A69-9007-6924,3,Fairhaven,Fundy,A
A69-9007-6928,3,Passamaquoddy_Bay,Passamaquoddy Bay,F
A69-9007-6946,3,Fairhaven,Passamaquoddy Bay,A
A69-9007-6752,4,InnerWP,Fundy,B
A69-9007-6754,4,OuterW_P,Fundy,C
A69-9007-6756,4,OuterW_P,Fundy,C
A69-9007-6758,4,InnerWP,Passamaquoddy Bay,B
A69-9007-6760,4,Doyle's_Passage,Passamaquoddy Bay,AAA
A69-9007-6762,4,OuterW_P,Fundy,C
A69-9007-6764,4,OuterW_P,Fundy,C
A69-9007-6766,4,OuterW_P,Fundy,C
A69-9007-6768,4,The_Wolves,Fundy,VV
A69-9007-6770,4,InnerWP,Fundy,B
A69-9007-6772,4,OuterW_P,Fundy,C
A69-9007-6774,4,OuterW_P,Fundy,C
A69-9007-6776,4,OuterW_P,Fundy,C
A69-9007-6778,4,Head_Harbour_Passage,Passamaquoddy Bay,U
A69-9007-6780,4,InnerWP,Passamaquoddy Bay,B
A69-9007-6784,4,InnerWP,Passamaquoddy Bay,B
A69-9007-6786,4,OuterW_P,Fundy,C
A69-9007-6790,4,OuterW_P,Fundy,C
A69-9007-6792,4,InnerWP,Fundy,B
A69-9007-6794,4,OuterW_P,Fundy,C
A69-9007-6802,4,Fairhaven,Fundy,A
A69-9007-6808,4,OuterW_P,Fundy,C
A69-9007-6810,4,OuterW_P,Fundy,C
A69-9007-6820,4,Big_L'etete_Passage,Passamaquoddy Bay,O
A69-9007-6822,4,OuterW_P,Fundy,C
A69-9007-6824,4,OuterW_P,Fundy,C
A69-9007-6826,4,InnerWP,Fundy,B
A69-9007-6832,4,OuterW_P,Fundy,C
A69-9007-6836,4,OuterW_P,Fundy,C
A69-9007-6838,4,Fairhaven,Passamaquoddy Bay,A
A69-9007-6840,4,InnerWP,Passamaquoddy Bay,B
A69-9007-6842,4,OuterW_P,Fundy,C
A69-9007-6846,4,Doyle's_Passage,Passamaquoddy Bay,AAA
A69-9007-6848,4,Little_L'etete_Passage,Passamaquoddy Bay,P
A69-9007-6850,4,OuterW_P,Fundy,C
A69-9007-6854,4,OuterW_P,Fundy,C
A69-9007-6860,4,OuterW_P,Fundy,C
A69-9007-6864,4,OuterW_P,Fundy,C
A69-9007-6866,4,Passamaquoddy_Bay,Passamaquoddy Bay,F
A69-9007-6868,4,OuterW_P,Fundy,C
A69-9007-6874,4,OuterW_P,Fundy,C
A69-9007-6878,4,OuterW_P,Fundy,C
A69-9007-6886,4,OuterW_P,Fundy,C
A69-9007-6892,4,OuterW_P,Fundy,C
A69-9007-6894,4,OuterW_P,Fundy,C
A69-9007-6896,4,OuterW_P,Fundy,C
A69-9007-6898,4,Head_Harbour_Passage,Passamaquoddy Bay,U
