Receiver,Station.name,Start,Stop
133268,WBAT-01,2021-07-30T13:52:00Z,2021-11-01T11:11:00Z
548175,WP-I-01,2021-05-06T12:51:00Z,2021-11-30T09:46:00Z
548176,WP-I-02,2021-05-06T12:49:00Z,2021-11-30T09:41:00Z
549013,WP-I-03B,2021-08-27T16:42:00Z,2021-11-30T09:31:00Z
548178,WP-I-04,2021-05-06T12:44:00Z,2021-11-30T09:25:00Z
548179,WP-I-05,2021-05-06T12:41:00Z,2021-11-30T09:06:00Z
548645,WP-O-01B,2021-08-27T17:26:00Z,2021-11-30T10:02:00Z
549291,WP-O-02B,2021-08-27T17:19:00Z,2021-11-29T14:01:00Z
549292,WP-O-03B,2021-08-27T17:08:00Z,2021-11-29T13:53:00Z
549334,WP-O-04B,2021-08-27T17:02:00Z,2021-11-29T13:47:00Z
110156,WR-01,2021-05-03T15:43:00Z,2021-12-01T13:10:00Z
115087,WR-02,2021-07-13T14:00:00Z,2021-11-19T13:55:00Z
548189,WR-O1B,2021-11-19T17:09:00Z,2022-05-11T13:55:00Z
137217,MF-0002-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
134776,MF-0012-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
136203,MF-0016-01,2021-04-30T17:00:00Z,2021-11-23T11:48:00Z
137212,MF-0020-01,2021-04-30T16:31:00Z,2021-11-23T11:38:00Z
137213,MF-0022-01,2021-04-30T16:43:00Z,2021-12-15T13:15:00Z
137214,MF-0026-01,2021-05-14T09:00:00Z,2022-02-26T12:00:00Z
137216,MF-0037-01,2021-05-14T09:00:00Z,2021-12-16T09:57:00Z
136194,MF-0044-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
136195,MF-0045-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
136196,MF-0046-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
136197,MF-0051-01,2021-05-14T09:00:00Z,2021-11-30T11:34:00Z
136199,MF-0052-01,2021-04-29T17:18:00Z,2021-11-25T10:51:00Z
136200,MF-0053-01,2021-04-29T17:41:00Z,2021-11-25T10:59:00Z
136202,MF-0055-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
136198,MF-0059-01,2021-05-14T09:00:00Z,2021-11-23T09:29:00Z
108820,MF-0059-02,2021-09-13T14:02:00Z,2021-12-15T14:17:00Z
108821,MF-0059-03,2021-09-13T14:18:00Z,2021-11-26T11:47:00Z
108822,MF-0059-04,2021-09-13T13:35:00Z,2021-11-26T11:50:00Z
108823,MF-0059-05,2021-09-13T13:48:00Z,2021-11-26T11:58:00Z
108824,MF-0059-06,2021-09-10T18:57:00Z,2022-01-17T11:17:00Z
108825,MF-0059-07,2021-09-13T14:41:00Z,2021-11-26T11:35:00Z
137218,MF-0172-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
134773,MF-0186-01,2021-04-29T18:09:00Z,2021-11-29T12:23:00Z
134774,MF-0206-01,2021-04-29T18:23:00Z,2021-11-29T12:34:00Z
137219,MF-0213-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
134763,MF-0222-01,2021-04-29T16:40:00Z,2021-11-30T14:02:00Z
134764,MF-0228-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
134765,MF-0276-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
137220,MF-0282-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
137221,MF-0298-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
137222,MF-0300-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
137223,MF-0349-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
137224,MF-0350-01,2021-05-04T14:17:00Z,2021-12-04T14:00:00Z
137225,MF-0368-01,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z
134768,MF-0377-01,2021-05-14T09:00:00Z,2021-12-08T10:47:00Z
134770,MF-0400-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
134772,MF-0412-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
134766,MF-0507-01,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z
