Receiver,Station.name,Latitude,Longitude,Section,farm_name,Start,Stop,Type
123514,SCR-B-01B,45.1914,-67.27421,Saint Croix River,NA,2021-06-25T13:47:00Z,2021-12-01T10:59:00Z,Hydrophone
106547,SCR-I-01,45.17161,-67.24128,Saint Croix River,NA,2021-05-03T15:12:00Z,2021-11-19T13:04:00Z,Hydrophone
548190,SCR-I-01B,45.1736,-67.24353,Saint Croix River,NA,2021-11-19T16:19:00Z,2022-05-11T11:12:00Z,Hydrophone
480909,SCR-M-01,45.16429,-67.16446,Saint Croix River,NA,2021-05-03T15:29:00Z,2021-11-19T13:39:00Z,Hydrophone
108826,SCR-M-02,45.12332,-67.1344,Saint Croix River,NA,2021-09-17T14:29:00Z,2021-11-19T14:30:00Z,Hydrophone
101362,SCR-O-01,45.07793,-67.10369,Saint Croix River,NA,2021-05-07T12:54:00Z,2021-12-01T14:30:00Z,Hydrophone
101365,SCR-O-02,45.07891,-67.09892,Saint Croix River,NA,2021-05-07T12:52:00Z,2021-12-01T14:10:00Z,Hydrophone
106527,SCR-O-03,45.07935,-67.09274,Saint Croix River,NA,2021-05-07T12:45:00Z,2021-11-26T08:44:00Z,Hydrophone
106545,SCR-O-04,45.08026,-67.0872,Saint Croix River,NA,2021-05-07T12:41:00Z,2021-11-26T08:36:00Z,Hydrophone
122376,SHO-01,45.03205,-66.91198,Fundy Isles,NA,2021-05-06T20:39:00Z,2021-11-27T13:30:00Z,Hydrophone
122378,SHO-02,45.00162,-66.90353,Fundy Isles,NA,2021-05-06T18:54:00Z,2021-11-26T09:44:00Z,Hydrophone
122380,SHO-04,44.96298,-66.92021,Head Harbour Passage,NA,2021-05-06T19:22:00Z,2021-11-26T14:47:00Z,Hydrophone
122382,SHO-05,44.95887,-66.92742,Head Harbour Passage,NA,2021-05-06T19:30:00Z,2021-11-26T15:05:00Z,Hydrophone
134775,SHO-06,45.02195,-66.92268,Fundy Isles,NA,2021-05-13T14:28:00Z,2021-11-26T14:10:00Z,Hydrophone
134769,SHO-07,45.01132,-66.90241,Fundy Isles,NA,2021-05-13T14:47:00Z,2021-11-26T09:29:00Z,Hydrophone
104649,SHO-08,44.947481,-66.950463,Head Harbour Passage,NA,2021-09-17T16:25:00Z,2021-11-26T10:39:00Z,Hydrophone
108838,TS-01,45.066117,-67.012217,Passamaquoddy Bay,NA,2021-09-17T15:00:00Z,2021-11-24T12:34:00Z,Hydrophone
133268,WBAT-01,45.01597,-66.98015,Passamaquoddy Bay,NA,2021-07-30T13:52:00Z,2021-11-01T11:11:00Z,Hydrophone
548175,WP-I-01,44.97855,-67.04841,InnerWP,NA,2021-05-06T12:51:00Z,2021-11-30T09:46:00Z,Hydrophone
548176,WP-I-02,44.97804,-67.04251,InnerWP,NA,2021-05-06T12:49:00Z,2021-11-30T09:41:00Z,Hydrophone
549013,WP-I-03B,44.97734,-67.03645,InnerWP,NA,2021-08-27T16:42:00Z,2021-11-30T09:31:00Z,Hydrophone
548178,WP-I-04,44.97657,-67.03006,InnerWP,NA,2021-05-06T12:44:00Z,2021-11-30T09:25:00Z,Hydrophone
548179,WP-I-05,44.9757,-67.02396,InnerWP,NA,2021-05-06T12:41:00Z,2021-11-30T09:06:00Z,Hydrophone
548645,WP-O-01B,44.94534,-67.03072,OuterW_P,NA,2021-08-27T17:26:00Z,2021-11-30T10:02:00Z,Hydrophone
549291,WP-O-02B,44.94864,-67.02548,OuterW_P,NA,2021-08-27T17:19:00Z,2021-11-29T14:01:00Z,Hydrophone
549292,WP-O-03B,44.95166,-67.02068,OuterW_P,NA,2021-08-27T17:08:00Z,2021-11-29T13:53:00Z,Hydrophone
549334,WP-O-04B,44.95477,-67.01598,OuterW_P,NA,2021-08-27T17:02:00Z,2021-11-29T13:47:00Z,Hydrophone
110156,WR-01,45.17915,-67.14488,Saint Croix River,NA,2021-05-03T15:43:00Z,2021-12-01T13:10:00Z,Hydrophone
115087,WR-02,45.18701,-67.14494,Saint Croix River,NA,2021-07-13T14:00:00Z,2021-11-19T13:55:00Z,Hydrophone
548189,WR-O1B,45.18403,-67.14455,Saint Croix River,NA,2021-11-19T17:09:00Z,2022-05-11T13:55:00Z,Hydrophone
137217,MF-0002-01,44.72077,-66.72543,Grand Manan,Farmer's Ledge,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
134776,MF-0012-01,45.06603,-66.73428,Beaver Harbour,Drew's Cove,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
136203,MF-0016-01,45.06084,-66.81453,Limekiln Harbour,Grand Manan,2021-04-30T17:00:00Z,2021-11-23T11:48:00Z,Hydrophone
137212,MF-0020-01,45.06132,-66.83128,Limekiln Harbour,Limekiln - Jail Island,2021-04-30T16:31:00Z,2021-11-23T11:38:00Z,Hydrophone
137213,MF-0022-01,45.0546,-66.82789,Limekiln Harbour,Birch Cove,2021-04-30T16:43:00Z,2021-12-15T13:15:00Z,Hydrophone
137214,MF-0026-01,45.04142,-66.82473,Limekiln Harbour,Hill's Island,2021-05-14T09:00:00Z,2022-02-26T12:00:00Z,Hydrophone
137216,MF-0037-01,45.04121,-66.8736,Limekiln Harbour,Crow Island,2021-05-14T09:00:00Z,2021-12-16T09:57:00Z,Hydrophone
136194,MF-0044-01,44.99907,-66.91082,Fundy Isles,Simpson's,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
136195,MF-0045-01,45.0056,-66.92676,Fundy Isles,Boone Cove,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
136196,MF-0046-01,45.00027,-66.94474,Fundy Isles,Lord's Cove,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
136197,MF-0051-01,44.9353,-66.98185,Head Harbour Passage,Doctor's Cove,2021-05-14T09:00:00Z,2021-11-30T11:34:00Z,Hydrophone
136199,MF-0052-01,44.92372,-66.93832,Head Harbour Passage,Curry Cove,2021-04-29T17:18:00Z,2021-11-25T10:51:00Z,Hydrophone
136200,MF-0053-01,44.91842,-66.93261,Head Harbour Passage,HDL - Otter Cove,2021-04-29T17:41:00Z,2021-11-25T10:59:00Z,Hydrophone
136202,MF-0055-01,44.88582,-66.95996,Friar's Bay,Friar's Bay,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
136198,MF-0059-01,44.96558,-67.01284,Fairhaven,Fairhaven,2021-05-14T09:00:00Z,2021-11-23T09:29:00Z,Hydrophone
108820,MF-0059-02,44.96293,-67.01199,Fairhaven,Fairhaven,2021-09-13T14:02:00Z,2021-12-15T14:17:00Z,Hydrophone
108821,MF-0059-03,44.96409,-67.01526,Fairhaven,Fairhaven,2021-09-13T14:18:00Z,2021-11-26T11:47:00Z,Hydrophone
108822,MF-0059-04,44.966,-67.01411,Fairhaven,Fairhaven,2021-09-13T13:35:00Z,2021-11-26T11:50:00Z,Hydrophone
108823,MF-0059-05,44.96506,-67.01061,Fairhaven,Fairhaven,2021-09-13T13:48:00Z,2021-11-26T11:58:00Z,Hydrophone
108824,MF-0059-06,44.96452,-67.01315,Fairhaven,Fairhaven,2021-09-10T18:57:00Z,2022-01-17T11:17:00Z,Hydrophone
108825,MF-0059-07,44.96227,-67.01401,Fairhaven,Fairhaven,2021-09-13T14:41:00Z,2021-11-26T11:35:00Z,Hydrophone
137218,MF-0172-01,44.66705,-66.72018,Grand Manan,Ross Island,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
134773,MF-0186-01,44.95491,-66.90282,Fundy Isles,Eagle Eye - Head Harbour,2021-04-29T18:09:00Z,2021-11-29T12:23:00Z,Hydrophone
134774,MF-0206-01,44.94584,-66.90365,Fundy Isles,Cub's Point,2021-04-29T18:23:00Z,2021-11-29T12:34:00Z,Hydrophone
137219,MF-0213-01,44.73441,-66.7317,Grand Manan,Long Island,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
134763,MF-0222-01,45.0141,-66.98019,Passamaquoddy Bay,Quoddy,2021-04-29T16:40:00Z,2021-11-30T14:02:00Z,Hydrophone
134764,MF-0228-01,45.0175,-66.9736,Passamaquoddy Bay,Davidson's Head,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
134765,MF-0276-01,45.03017,-66.86753,Limekiln Harbour,Charlie Cove,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
137220,MF-0282-01,44.68833,-66.71373,Grand Manan,Nantucket,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
137221,MF-0298-01,44.68194,-66.70071,Grand Manan,Great Duck,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
137222,MF-0300-01,44.67606,-66.70972,Grand Manan,Andy's Ledge,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
137223,MF-0349-01,44.71785,-66.73183,Grand Manan,Bancroft Point,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
137224,MF-0350-01,44.72078,-66.7197,Grand Manan,?,2021-05-04T14:17:00Z,2021-12-04T14:00:00Z,Hydrophone
137225,MF-0368-01,44.73012,-66.73825,Grand Manan,Dutch Ledge,2021-05-06T09:00:00Z,2021-12-20T12:00:00Z,Hydrophone
134768,MF-0377-01,45.03045,-67.00638,Passamaquoddy Bay,St. Andrews,2021-05-14T09:00:00Z,2021-12-08T10:47:00Z,Hydrophone
134770,MF-0400-01,45.08121,-66.64347,Maces Bay,Seeley's Cove,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
134772,MF-0412-01,45.10276,-66.57781,Maces Bay,Red Head,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
134766,MF-0507-01,45.09194,-66.61289,Maces Bay,Penn Island,2021-05-14T09:00:00Z,2021-12-22T12:00:00Z,Hydrophone
