Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision
2021-04-25 21:58:23,VR2W-136202,A69-1602-24072,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 21:59:34,VR2W-136202,A69-1602-24072,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 21:59:45,VR2W-136202,A69-1602-24072,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 22:02:37,VR2W-136202,A69-1601-61900,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 22:03:22,VR2W-136202,A69-1601-61216,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 22:08:46,VR2W-136202,A69-1601-61154,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 22:13:11,VR2W-136202,A69-1601-61216,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 22:19:46,VR2W-136202,A69-1601-61154,,,,,MF-0055-01,+44.88582,-66.95996
2021-04-25 22:23:35,VR2W-136202,A69-1601-61900,,,,,MF-0055-01,+44.88582,-66.95996
2021-05-24 04:10:32,VR2W-136202,A69-9006-9596,,,255,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 04:11:16,VR2W-136202,A69-9006-9597,,,17,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 04:16:30,VR2W-136202,A69-9006-9597,,,5,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 09:09:26,VR2W-136202,A69-9006-9596,,,255,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 09:10:11,VR2W-136202,A69-9006-9597,,,7,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 09:12:25,VR2W-136202,A69-9006-9596,,,255,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 09:14:30,VR2W-136202,A69-9006-9597,,,83,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 09:15:03,VR2W-136202,A69-9006-9596,,,255,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 09:16:25,VR2W-136202,A69-9006-9596,,,255,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 09:17:41,VR2W-136202,A69-9006-9596,,,255,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 15:27:59,VR2W-136202,A69-9006-9613,,,13,ADC,MF-0055-01,+44.88582,-66.95996
2021-05-24 15:30:31,VR2W-136202,A69-9006-9613,,,10,ADC,MF-0055-01,+44.88582,-66.95996
